,motor_name,motor_price,listing_type,brand,model,engine_cap,classification,reg_date,coe_exp_date,mileage,no_of_owners,type_of_vehicle
0,BMW R1250RT,SGD$68000,Paid Ad,BMW,BMW R1250RT,1254cc,Class 2,27/10/2021,26/10/2031 (8yrs 9mths 25days COE left),2731km,1,Sport Tourers
1,Honda VFR800X CrossRunner,SGD$16800,Paid Ad,Honda,Honda VFR800X CrossRunner,782cc,Class 2,23/05/2015,22/05/2025 (2yrs 4mths 21days COE left),51000km,2,Sport Tourers
2,Yamaha XSR900,SGD$28888,Paid Ad,Yamaha,Yamaha XSR900,847cc,Class 2,02/12/2020,01/12/2030 (7yrs 11mths COE left),841km,1,Street Bikes
3,Honda PCX150,SGD$9222,Paid Ad,Honda,Honda PCX150,153cc,Class 2B,29/08/2017,28/08/2027 (4yrs 7mths 27days COE left),-,-,Scooters
4,Honda Shadow 400,SGD$12800,Paid Ad,Honda,Honda Shadow 400,398cc,Class 2A,23/01/1998,30/11/2027 (4yrs 10mths 29days COE left),9999km,-,Cruiser
5,Yamaha FJR1300,SGD$12500,Featured Ad,Yamaha,Yamaha FJR1300,1298cc,Class 2,07/08/2009,31/01/2029 (6yrs 30days COE left),151000km,3,Sport Tourers
6,Vespa LX150 I.E.,SGD$3999,Paid Ad,Vespa,Vespa LX150 I.E.,155cc,Class 2B,08/07/2013,07/07/2023 (6mths 6days COE left),-,-,Scooters
7,Honda NT700V Deauville,SGD$12500,Paid Ad,Honda,Honda NT700V Deauville,680cc,Class 2,13/11/2009,12/11/2029 (6yrs 10mths 11days COE left),-,-,Sport Tourers
8,Yamaha Nmax 155,SGD$13800,Paid Ad,Yamaha,Yamaha Nmax 155,155cc,Class 2B,20/05/2021,19/05/2031 (8yrs 4mths 18days COE left),-,-,Scooters
9,KTM 1290 Super Adventure,SGD$18800,Paid Ad,KTM,KTM 1290 Super Adventure,1301cc,Class 2,03/08/2015,02/08/2025 (2yrs 7mths 1days COE left),27700km,-,Sport Tourers
10,KTM 390 Duke,SGD$4888,Paid Ad,KTM,KTM 390 Duke,373cc,Class 2A,18/09/2014,17/09/2024 (1yrs 8mths 16days COE left),56980km,2,Street Bikes
11,Vespa GTS 300 Supertech HPE,SGD$21800,Paid Ad,Vespa,Vespa GTS 300 Supertech HPE,278cc,Class 2A,20/10/2021,19/10/2031 (8yrs 9mths 18days COE left),-,-,Scooters
12,MV Agusta Dragster 800 RC,SGD$49888,Paid Ad,MV Agusta,MV Agusta Dragster 800 RC,798cc,Class 2,14/05/2021,13/05/2031 (8yrs 4mths 12days COE left),1198km,-,Street Bikes
13,Harley Davidson Fat Bob 114,SGD$34888,Paid Ad,Harley Davidson,Harley Davidson Fat Bob 114,1868cc,Class 2,29/12/2017,28/12/2027 (4yrs 11mths 27days COE left),11120km,-,Cruiser
