,motor_name,motor_price,Brand,model,engine_cap_x,classification,type_of_vehicle,Model,Year,Category,engine_cap_y,Power (hp),Engine cylinder,Engine stroke,Gearbox,Fuel capacity (lts),Transmission type,Front brakes,Rear brakes,Front suspension,Rear suspension
0,Honda VFR800X CrossRunner,16800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2015,Sport touring,782.0,107.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
1,Honda VFR800X CrossRunner,16800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2017,Sport touring,782.0,107.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
2,Honda VFR800X CrossRunner,16800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2018,Sport touring,782.0,107.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
3,Honda VFR800X CrossRunner,16800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2019,Sport touring,782.0,104.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
4,Honda VFR800X CrossRunner,13800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2015,Sport touring,782.0,107.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
5,Honda VFR800X CrossRunner,13800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2017,Sport touring,782.0,107.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
6,Honda VFR800X CrossRunner,13800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2018,Sport touring,782.0,107.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
7,Honda VFR800X CrossRunner,13800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2019,Sport touring,782.0,104.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
8,Honda VFR800X CrossRunner,13800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2015,Sport touring,782.0,107.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
9,Honda VFR800X CrossRunner,13800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2017,Sport touring,782.0,107.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
