,motor_name,motor_price,Brand,model,engine_cap,classification,type_of_vehicle
0,BMW R1250RT,68000,bmw,BMW R1250RT,1254,Class 2,Sport Tourers
1,Honda VFR800X CrossRunner,16800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers
2,Yamaha XSR900,28888,yamaha,Yamaha XSR900,847,Class 2,Street Bikes
3,Honda PCX150,9222,honda,Honda PCX150,153,Class 2B,Scooters
4,Honda Shadow 400,12800,honda,Honda Shadow 400,398,Class 2A,Cruiser
5,Yamaha FJR1300,12500,yamaha,Yamaha FJR1300,1298,Class 2,Sport Tourers
6,Vespa LX150 I.E.,3999,vespa,Vespa LX150 I.E.,155,Class 2B,Scooters
7,Honda NT700V Deauville,12500,honda,Honda NT700V Deauville,680,Class 2,Sport Tourers
8,Yamaha Nmax 155,13800,yamaha,Yamaha Nmax 155,155,Class 2B,Scooters
9,KTM 1290 Super Adventure,18800,ktm,KTM 1290 Super Adventure,1301,Class 2,Sport Tourers
10,KTM 390 Duke,4888,ktm,KTM 390 Duke,373,Class 2A,Street Bikes
11,Vespa GTS 300 Supertech HPE,21800,vespa,Vespa GTS 300 Supertech HPE,278,Class 2A,Scooters
12,MV Agusta Dragster 800 RC,49888,mv agusta,MV Agusta Dragster 800 RC,798,Class 2,Street Bikes
13,Harley Davidson Fat Bob 114,34888,harley davidson,Harley Davidson Fat Bob 114,1868,Class 2,Cruiser
14,Honda CB400 Super 4 Bold'or,14588,honda,Honda CB400 Super 4 Bold'or,399,Class 2A,Street Bikes
15,Royal Enfield Bullet 500,10500,royal enfield,Royal Enfield Bullet 500,499,Class 2,Street Bikes
16,Yamaha FZ8-S,13500,yamaha,Yamaha FZ8-S,779,Class 2,Street Bikes
17,Aprilia Dorsoduro 1200 ABS,9800,aprilia,Aprilia Dorsoduro 1200 ABS,1197,Class 2,Super Motards
18,Royal Enfield Meteor 350,16588,royal enfield,Royal Enfield Meteor 350,350,Class 2A,Street Bikes
19,Honda CBF150,3800,honda,Honda CBF150,149,Class 2B,Street Bikes
20,SYM Joyride S200i,9300,sym,SYM Joyride S200i,175,Class 2B,Scooters
21,Honda CB150R ExMotion,10800,honda,Honda CB150R ExMotion,149,Class 2B,Street Bikes
22,Yamaha XSR700,29500,yamaha,Yamaha XSR700,689,Class 2,Street Bikes
23,Ducati Diavel,27000,ducati,Ducati Diavel,1198,Class 2,Street Bikes
24,Kawasaki Z1000 ABS,12888,kawasaki,Kawasaki Z1000 ABS,1043,Class 2,Street Bikes
25,Yamaha XSR900,21800,yamaha,Yamaha XSR900,847,Class 2,Street Bikes
26,Yamaha MT-15 Xabre,8900,yamaha,Yamaha MT-15 Xabre,150,Class 2B,Street Bikes
27,Suzuki GSX-R1000,4500,suzuki,Suzuki GSX-R1000,988,Class 2,Sport Bikes
28,MV Agusta Dragster 800 RC,23888,mv agusta,MV Agusta Dragster 800 RC,798,Class 2,Street Bikes
29,Royal Enfield Meteor 350,17888,royal enfield,Royal Enfield Meteor 350,350,Class 2A,Street Bikes
30,Honda CB150R ExMotion,9288,honda,Honda CB150R ExMotion,149,Class 2B,Street Bikes
31,Honda Forza 300,18888,honda,Honda Forza 300,279,Class 2A,Scooters
32,SYM Joyride 200i Evo,4800,sym,SYM Joyride 200i Evo,171,Class 2B,Scooters
33,Yamaha YZF-R15,10888,yamaha,Yamaha YZF-R15,155,Class 2B,Sport Bikes
34,Yamaha Aerox 155,11888,yamaha,Yamaha Aerox 155,155,Class 2B,Scooters
35,SYM GTS 200,13800,sym,SYM GTS 200,172,Class 2B,Scooters
36,Ducati Superbike 899 Panigale,22800,ducati,Ducati Superbike 899 Panigale,898,Class 2,Sport Bikes
37,SYM HD2 200I,5500,sym,SYM HD2 200I,172,Class 2B,Scooters
38,Suzuki GSX-R1300 Hayabusa,13500,suzuki,Suzuki GSX-R1300 Hayabusa,1299,Class 2,Sport Bikes
39,Kymco Downtown 200I,5700,kymco,Kymco Downtown 200I,199,Class 2B,Scooters
40,Honda PCX150,3388,honda,Honda PCX150,153,Class 2B,Scooters
41,BMW R1200GS Adventure,45800,bmw,BMW R1200GS Adventure,1170,Class 2,Sport Tourers
42,Honda CB400 Super 4 Spec 3,6000,honda,Honda CB400 Super 4 Spec 3,399,Class 2A,Street Bikes
43,SYM Excel II 150,7300,sym,SYM Excel II 150,150,Class 2B,Scooters
44,BMW G310GS,13888,bmw,BMW G310GS,313,Class 2A,Sport Tourers
45,Yamaha FZ8-S,8500,yamaha,Yamaha FZ8-S,779,Class 2A,Street Bikes
46,BMW S1000XR,23500,bmw,BMW S1000XR,999,Class 2,Sport Tourers
47,Yamaha YZF-R15,13800,yamaha,Yamaha YZF-R15,155,Class 2B,Sport Bikes
48,KTM 390 Duke,3800,ktm,KTM 390 Duke,373,Class 2A,Street Bikes
49,Suzuki GSX-S1000,12800,suzuki,Suzuki GSX-S1000,999,Class 2,Street Bikes
50,Honda Forza 300,14800,honda,Honda Forza 300,279,Class 2A,Scooters
51,Honda CB400 Super 4 Revo,7800,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
52,Kawasaki ZX10R Ninja ABS,13800,kawasaki,Kawasaki ZX10R Ninja ABS,998,Class 2,Sport Bikes
53,Suzuki V-Strom 1000 ABS Adventure,10800,suzuki,Suzuki V-Strom 1000 ABS Adventure,1037,Class 2,Sport Tourers
54,Yamaha Tmax 530 DX,25888,yamaha,Yamaha Tmax 530 DX,530,Class 2,Scooters
55,Honda CB400X,9888,honda,Honda CB400X,399,Class 2A,Sport Tourers
56,Yamaha Aerox 155,10800,yamaha,Yamaha Aerox 155,155,Class 2B,Scooters
57,Yamaha YZF-R15,9800,yamaha,Yamaha YZF-R15,155,Class 2B,Sport Bikes
58,Yamaha Jupiter MX135,8000,yamaha,Yamaha Jupiter MX135,134,Class 2B,Cubs
59,Honda CB400 Super 4 Revo,25800,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
60,Honda CB400X,5877,honda,Honda CB400X,399,Class 2A,Sport Tourers
61,Yamaha MT-03,9888,yamaha,Yamaha MT-03,321,Class 2A,Street Bikes
62,SYM Jet 14 200i ABS,9577,sym,SYM Jet 14 200i ABS,169,Class 2B,Scooters
63,Yamaha FJR1300,5800,yamaha,Yamaha FJR1300,1298,Class 2,Sport Tourers
64,Yamaha MT-15,11577,yamaha,Yamaha MT-15,155,Class 2B,Street Bikes
65,Suzuki Burgman 200,12800,suzuki,Suzuki Burgman 200,200,Class 2B,Scooters
66,Honda ST1300A Pan-European,10888,honda,Honda ST1300A Pan-European,1261,Class 2,Sport Tourers
67,Royal Enfield Interceptor,19588,royal enfield,Royal Enfield Interceptor,648,Class 2,Street Bikes
68,Honda CB200X,14588,honda,Honda CB200X,184,Class 2B,Sport Tourers
69,Honda CB150R ExMotion,13888,honda,Honda CB150R ExMotion,149,Class 2B,Street Bikes
