,year,Brand,no. of motorcycles
0,2005,yamaha,3063
1,2005,honda,5405
2,2005,sym,589
3,2005,bmw,34
4,2005,ktm,28
5,2005,piaggio,1027
6,2005,suzuki,639
7,2005,kawasaki,295
8,2005,kymco,116
9,2005,ducati,35
10,2005,adiva,0
11,2005,aprilia,150
12,2005,bajaj,130
13,2005,harley davidson,109
14,2005,triumph,0
15,2005,daelim,219
16,2005,pgo,35
17,2005,mle,0
18,2005,peugeot,0
19,2005,royal enfield,0
20,2005,moto guzzi,0
21,2005,keeway,0
22,2005,can-am,0
23,2005,mv agusta,0
24,2005,zongshen,129
25,2005,lambretta,0
26,2005,indian,0
27,2005,megelli,0
28,2005,sacin,0
29,2005,norton,0
30,2005,rieju,0
31,2005,bimota,0
32,2005,vincent,0
33,2005,bsa,0
34,2005,rato,0
35,2005,vespa,0
36,2005,victory,0
37,2005,yyrus,0
38,2005,benelli,7
39,2005,cagiva,0
40,2005,cemoto,0
41,2005,chunlan,0
42,2005,cpi,0
43,2005,emax,0
44,2005,gas gas,0
45,2005,hartford,0
46,2005,derbi,0
47,2005,italjet,0
48,2005,husqvarna,0
49,2005,hyosung,91
50,2005,lml,99
51,2005,modenas,0
52,2005,tgb,0
53,2005,tiger,0
54,2005,regal-raptor,0
55,2005,sachs,0
56,2005,sang yang,0
57,2005,sanyang,0
58,2005,tvs,0
59,2005,zipstar,23
60,2005,others,19
61,2006,yamaha,4547
62,2006,honda,3318
63,2006,sym,310
64,2006,bmw,44
65,2006,ktm,35
66,2006,piaggio,994
67,2006,suzuki,810
68,2006,kawasaki,150
69,2006,kymco,97
70,2006,ducati,49
71,2006,adiva,0
72,2006,aprilia,128
73,2006,bajaj,563
74,2006,harley davidson,143
75,2006,triumph,20
76,2006,daelim,162
77,2006,pgo,37
78,2006,mle,0
79,2006,peugeot,0
80,2006,royal enfield,16
81,2006,moto guzzi,0
82,2006,keeway,0
83,2006,can-am,0
84,2006,mv agusta,13
85,2006,zongshen,6
86,2006,lambretta,0
87,2006,indian,0
88,2006,megelli,0
89,2006,sacin,0
90,2006,norton,0
91,2006,rieju,0
92,2006,bimota,0
93,2006,vincent,0
94,2006,bsa,0
95,2006,rato,0
96,2006,vespa,0
97,2006,victory,0
98,2006,yyrus,0
99,2006,benelli,0
100,2006,cagiva,5
101,2006,cemoto,0
102,2006,chunlan,0
103,2006,cpi,0
104,2006,emax,0
105,2006,gas gas,0
106,2006,hartford,0
107,2006,derbi,0
108,2006,italjet,0
109,2006,husqvarna,17
110,2006,hyosung,38
111,2006,lml,21
112,2006,modenas,0
113,2006,tgb,0
114,2006,tiger,0
115,2006,regal-raptor,0
116,2006,sachs,0
117,2006,sang yang,0
118,2006,sanyang,0
119,2006,tvs,0
120,2006,zipstar,0
121,2006,others,5
122,2007,yamaha,4102
123,2007,honda,3176
124,2007,sym,183
125,2007,bmw,47
126,2007,ktm,45
127,2007,piaggio,863
128,2007,suzuki,912
129,2007,kawasaki,118
130,2007,kymco,68
131,2007,ducati,99
132,2007,adiva,0
133,2007,aprilia,82
134,2007,bajaj,359
135,2007,harley davidson,158
136,2007,triumph,22
137,2007,daelim,105
138,2007,pgo,38
139,2007,mle,0
140,2007,peugeot,0
141,2007,royal enfield,9
142,2007,moto guzzi,8
143,2007,keeway,0
144,2007,can-am,0
145,2007,mv agusta,7
146,2007,zongshen,0
147,2007,lambretta,0
148,2007,indian,0
149,2007,megelli,0
150,2007,sacin,0
151,2007,norton,0
152,2007,rieju,0
153,2007,bimota,0
154,2007,vincent,0
155,2007,bsa,0
156,2007,rato,0
157,2007,vespa,17
158,2007,victory,0
159,2007,yyrus,0
160,2007,benelli,5
161,2007,cagiva,0
162,2007,cemoto,0
163,2007,chunlan,0
164,2007,cpi,0
165,2007,emax,0
166,2007,gas gas,0
167,2007,hartford,0
168,2007,derbi,0
169,2007,italjet,0
170,2007,husqvarna,10
171,2007,hyosung,0
172,2007,lml,0
173,2007,modenas,0
174,2007,tgb,0
175,2007,tiger,0
176,2007,regal-raptor,0
177,2007,sachs,0
178,2007,sang yang,0
179,2007,sanyang,0
180,2007,tvs,0
181,2007,zipstar,0
182,2007,others,8
183,2008,yamaha,4066
184,2008,honda,2776
185,2008,sym,262
186,2008,bmw,67
187,2008,ktm,60
188,2008,piaggio,719
189,2008,suzuki,961
190,2008,kawasaki,112
191,2008,kymco,131
192,2008,ducati,101
193,2008,adiva,7
194,2008,aprilia,74
195,2008,bajaj,491
196,2008,harley davidson,135
197,2008,triumph,37
198,2008,daelim,152
199,2008,pgo,38
200,2008,mle,0
201,2008,peugeot,0
202,2008,royal enfield,13
203,2008,moto guzzi,5
204,2008,keeway,0
205,2008,can-am,0
206,2008,mv agusta,0
207,2008,zongshen,0
208,2008,lambretta,0
209,2008,indian,0
210,2008,megelli,0
211,2008,sacin,0
212,2008,norton,0
213,2008,rieju,0
214,2008,bimota,0
215,2008,vincent,0
216,2008,bsa,0
217,2008,rato,0
218,2008,vespa,28
219,2008,victory,0
220,2008,yyrus,0
221,2008,benelli,0
222,2008,cagiva,0
223,2008,cemoto,0
224,2008,chunlan,0
225,2008,cpi,11
226,2008,emax,0
227,2008,gas gas,0
228,2008,hartford,0
229,2008,derbi,6
230,2008,italjet,0
231,2008,husqvarna,25
232,2008,hyosung,0
233,2008,lml,0
234,2008,modenas,0
235,2008,tgb,0
236,2008,tiger,0
237,2008,regal-raptor,0
238,2008,sachs,130
239,2008,sang yang,0
240,2008,sanyang,0
241,2008,tvs,0
242,2008,zipstar,0
243,2008,others,1
244,2009,yamaha,3953
245,2009,honda,2065
246,2009,sym,347
247,2009,bmw,59
248,2009,ktm,60
249,2009,piaggio,644
250,2009,suzuki,541
251,2009,kawasaki,65
252,2009,kymco,98
253,2009,ducati,88
254,2009,adiva,17
255,2009,aprilia,101
256,2009,bajaj,374
257,2009,harley davidson,115
258,2009,triumph,46
259,2009,daelim,172
260,2009,pgo,32
261,2009,mle,0
262,2009,peugeot,0
263,2009,royal enfield,11
264,2009,moto guzzi,6
265,2009,keeway,0
266,2009,can-am,5
267,2009,mv agusta,6
268,2009,zongshen,0
269,2009,lambretta,0
270,2009,indian,0
271,2009,megelli,0
272,2009,sacin,0
273,2009,norton,0
274,2009,rieju,0
275,2009,bimota,0
276,2009,vincent,0
277,2009,bsa,0
278,2009,rato,0
279,2009,vespa,31
280,2009,victory,0
281,2009,yyrus,0
282,2009,benelli,0
283,2009,cagiva,0
284,2009,cemoto,0
285,2009,chunlan,0
286,2009,cpi,15
287,2009,emax,0
288,2009,gas gas,0
289,2009,hartford,0
290,2009,derbi,33
291,2009,italjet,0
292,2009,husqvarna,34
293,2009,hyosung,0
294,2009,lml,0
295,2009,modenas,0
296,2009,tgb,0
297,2009,tiger,0
298,2009,regal-raptor,0
299,2009,sachs,29
300,2009,sang yang,0
301,2009,sanyang,0
302,2009,tvs,0
303,2009,zipstar,0
304,2009,others,11
305,2010,yamaha,3834
306,2010,honda,1494
307,2010,sym,414
308,2010,bmw,100
309,2010,ktm,63
310,2010,piaggio,686
311,2010,suzuki,356
312,2010,kawasaki,81
313,2010,kymco,90
314,2010,ducati,144
315,2010,adiva,13
316,2010,aprilia,142
317,2010,bajaj,224
318,2010,harley davidson,152
319,2010,triumph,45
320,2010,daelim,154
321,2010,pgo,23
322,2010,mle,0
323,2010,peugeot,0
324,2010,royal enfield,5
325,2010,moto guzzi,0
326,2010,keeway,0
327,2010,can-am,11
328,2010,mv agusta,22
329,2010,zongshen,67
330,2010,lambretta,0
331,2010,indian,0
332,2010,megelli,0
333,2010,sacin,0
334,2010,norton,0
335,2010,rieju,27
336,2010,bimota,0
337,2010,vincent,0
338,2010,bsa,0
339,2010,rato,0
340,2010,vespa,20
341,2010,victory,0
342,2010,yyrus,0
343,2010,benelli,0
344,2010,cagiva,0
345,2010,cemoto,0
346,2010,chunlan,0
347,2010,cpi,0
348,2010,emax,0
349,2010,gas gas,0
350,2010,hartford,0
351,2010,derbi,26
352,2010,italjet,0
353,2010,husqvarna,17
354,2010,hyosung,0
355,2010,lml,0
356,2010,modenas,0
357,2010,tgb,0
358,2010,tiger,0
359,2010,regal-raptor,0
360,2010,sachs,16
361,2010,sang yang,0
362,2010,sanyang,0
363,2010,tvs,75
364,2010,zipstar,0
365,2010,others,15
366,2011,yamaha,3462
367,2011,honda,1369
368,2011,sym,590
369,2011,bmw,148
370,2011,ktm,132
371,2011,piaggio,543
372,2011,suzuki,358
373,2011,kawasaki,128
374,2011,kymco,78
375,2011,ducati,175
376,2011,adiva,22
377,2011,aprilia,178
378,2011,bajaj,108
379,2011,harley davidson,189
380,2011,triumph,69
381,2011,daelim,154
382,2011,pgo,49
383,2011,mle,0
384,2011,peugeot,0
385,2011,royal enfield,5
386,2011,moto guzzi,6
387,2011,keeway,19
388,2011,can-am,8
389,2011,mv agusta,9
390,2011,zongshen,54
391,2011,lambretta,0
392,2011,indian,0
393,2011,megelli,45
394,2011,sacin,0
395,2011,norton,0
396,2011,rieju,58
397,2011,bimota,0
398,2011,vincent,0
399,2011,bsa,0
400,2011,rato,0
401,2011,vespa,0
402,2011,victory,0
403,2011,yyrus,0
404,2011,benelli,0
405,2011,cagiva,0
406,2011,cemoto,0
407,2011,chunlan,0
408,2011,cpi,45
409,2011,emax,0
410,2011,gas gas,0
411,2011,hartford,0
412,2011,derbi,11
413,2011,italjet,0
414,2011,husqvarna,24
415,2011,hyosung,0
416,2011,lml,0
417,2011,modenas,17
418,2011,tgb,0
419,2011,tiger,0
420,2011,regal-raptor,7
421,2011,sachs,0
422,2011,sang yang,0
423,2011,sanyang,0
424,2011,tvs,19
425,2011,zipstar,0
426,2011,others,13
427,2012,yamaha,4404
428,2012,honda,1767
429,2012,sym,876
430,2012,bmw,230
431,2012,ktm,242
432,2012,piaggio,568
433,2012,suzuki,200
434,2012,kawasaki,197
435,2012,kymco,114
436,2012,ducati,191
437,2012,adiva,8
438,2012,aprilia,212
439,2012,bajaj,120
440,2012,harley davidson,203
441,2012,triumph,104
442,2012,daelim,140
443,2012,pgo,76
444,2012,mle,0
445,2012,peugeot,13
446,2012,royal enfield,24
447,2012,moto guzzi,0
448,2012,keeway,30
449,2012,can-am,0
450,2012,mv agusta,15
451,2012,zongshen,32
452,2012,lambretta,0
453,2012,indian,0
454,2012,megelli,45
455,2012,sacin,25
456,2012,norton,0
457,2012,rieju,36
458,2012,bimota,0
459,2012,vincent,0
460,2012,bsa,0
461,2012,rato,0
462,2012,vespa,14
463,2012,victory,0
464,2012,yyrus,0
465,2012,benelli,0
466,2012,cagiva,0
467,2012,cemoto,0
468,2012,chunlan,0
469,2012,cpi,6
470,2012,emax,0
471,2012,gas gas,0
472,2012,hartford,0
473,2012,derbi,0
474,2012,italjet,0
475,2012,husqvarna,5
476,2012,hyosung,0
477,2012,lml,0
478,2012,modenas,14
479,2012,tgb,0
480,2012,tiger,0
481,2012,regal-raptor,11
482,2012,sachs,0
483,2012,sang yang,0
484,2012,sanyang,0
485,2012,tvs,7
486,2012,zipstar,0
487,2012,others,14
488,2013,yamaha,5334
489,2013,honda,2046
490,2013,sym,881
491,2013,bmw,360
492,2013,ktm,310
493,2013,piaggio,542
494,2013,suzuki,163
495,2013,kawasaki,271
496,2013,kymco,190
497,2013,ducati,159
498,2013,adiva,34
499,2013,aprilia,196
500,2013,bajaj,422
501,2013,harley davidson,170
502,2013,triumph,121
503,2013,daelim,102
504,2013,pgo,61
505,2013,mle,89
506,2013,peugeot,16
507,2013,royal enfield,29
508,2013,moto guzzi,10
509,2013,keeway,72
510,2013,can-am,10
511,2013,mv agusta,11
512,2013,zongshen,8
513,2013,lambretta,0
514,2013,indian,0
515,2013,megelli,8
516,2013,sacin,21
517,2013,norton,0
518,2013,rieju,16
519,2013,bimota,0
520,2013,vincent,0
521,2013,bsa,0
522,2013,rato,0
523,2013,vespa,6
524,2013,victory,0
525,2013,yyrus,0
526,2013,benelli,0
527,2013,cagiva,0
528,2013,cemoto,0
529,2013,chunlan,0
530,2013,cpi,0
531,2013,emax,0
532,2013,gas gas,0
533,2013,hartford,0
534,2013,derbi,0
535,2013,italjet,0
536,2013,husqvarna,0
537,2013,hyosung,0
538,2013,lml,0
539,2013,modenas,0
540,2013,tgb,0
541,2013,tiger,0
542,2013,regal-raptor,0
543,2013,sachs,0
544,2013,sang yang,0
545,2013,sanyang,0
546,2013,tvs,0
547,2013,zipstar,0
548,2013,others,13
549,2014,yamaha,2764
550,2014,honda,1932
551,2014,sym,472
552,2014,bmw,466
553,2014,ktm,405
554,2014,piaggio,368
555,2014,suzuki,279
556,2014,kawasaki,278
557,2014,kymco,238
558,2014,ducati,177
559,2014,adiva,125
560,2014,aprilia,123
561,2014,bajaj,119
562,2014,harley davidson,116
563,2014,triumph,87
564,2014,daelim,51
565,2014,pgo,44
566,2014,mle,38
567,2014,peugeot,26
568,2014,royal enfield,13
569,2014,moto guzzi,11
570,2014,keeway,10
571,2014,can-am,5
572,2014,mv agusta,5
573,2014,zongshen,5
574,2014,lambretta,4
575,2014,indian,2
576,2014,megelli,2
577,2014,sacin,2
578,2014,norton,1
579,2014,rieju,1
580,2014,bimota,0
581,2014,vincent,0
582,2014,bsa,0
583,2014,rato,0
584,2014,vespa,1
585,2014,victory,1
586,2014,yyrus,1
587,2014,benelli,0
588,2014,cagiva,0
589,2014,cemoto,0
590,2014,chunlan,0
591,2014,cpi,0
592,2014,emax,0
593,2014,gas gas,0
594,2014,hartford,0
595,2014,derbi,0
596,2014,italjet,0
597,2014,husqvarna,0
598,2014,hyosung,0
599,2014,lml,0
600,2014,modenas,0
601,2014,tgb,0
602,2014,tiger,0
603,2014,regal-raptor,0
604,2014,sachs,0
605,2014,sang yang,0
606,2014,sanyang,0
607,2014,tvs,0
608,2014,zipstar,0
609,2014,others,0
610,2015,a-bike,6
611,2015,adiva,173
612,2015,aprilia,87
613,2015,bmw,385
614,2015,bajaj,60
615,2015,benelli,0
616,2015,cagiva,0
617,2015,can-am,4
618,2015,cpi,0
619,2015,daelim,50
620,2015,derbi,0
621,2015,ducati,109
622,2015,harley davidson,141
623,2015,honda,1960
624,2015,husqvarna,6
625,2015,hyosung,3
626,2015,indian,16
627,2015,jianshe,3
628,2015,ktm,381
629,2015,kawasaki,230
630,2015,keeway,5
631,2015,kymco,223
632,2015,lambretta,1
633,2015,lml,0
634,2015,mv agusta,31
635,2015,megelli,0
636,2015,mle,0
637,2015,modenas,0
638,2015,moto guzzi,8
639,2015,norton,0
640,2015,pgo,69
641,2015,peugeot,0
642,2015,piaggio,336
643,2015,qingqi,2
644,2015,regal-raptor,0
645,2015,rieju,4
646,2015,royal enfield,4
647,2015,sachs,0
648,2015,sacin,0
649,2015,suzuki,440
650,2015,sym,258
651,2015,tgb,1
652,2015,triumph,88
653,2015,tvs,0
654,2015,velocette,1
655,2015,vespa,1
656,2015,victory,7
657,2015,yamaha,2353
658,2015,yyrus,0
659,2015,zipstar,0
660,2015,zongshen,18
661,2015,others,0
662,2016,a-bike,0
663,2016,adiva,182
664,2016,aprilia,71
665,2016,bmw,392
666,2016,bajaj,140
667,2016,benelli,0
668,2016,cagiva,0
669,2016,can-am,1
670,2016,cpi,0
671,2016,daelim,26
672,2016,derbi,0
673,2016,ducati,106
674,2016,harley davidson,112
675,2016,honda,2324
676,2016,husqvarna,10
677,2016,hyosung,0
678,2016,indian,6
679,2016,jianshe,17
680,2016,ktm,329
681,2016,kawasaki,96
682,2016,keeway,7
683,2016,kymco,195
684,2016,lambretta,2
685,2016,lml,0
686,2016,mv agusta,32
687,2016,megelli,0
688,2016,mle,0
689,2016,modenas,0
690,2016,moto guzzi,20
691,2016,norton,0
692,2016,pgo,47
693,2016,peugeot,0
694,2016,piaggio,313
695,2016,qingqi,3
696,2016,regal-raptor,0
697,2016,rieju,7
698,2016,royal enfield,4
699,2016,sachs,0
700,2016,sacin,0
701,2016,scomadi,103
702,2016,suzuki,443
703,2016,sym,209
704,2016,tgb,16
705,2016,triumph,75
706,2016,tvs,0
707,2016,velocette,0
708,2016,vespa,0
709,2016,victory,5
710,2016,yamaha,3037
711,2016,yyrus,0
712,2016,zongshen,25
713,2016,others,0
714,2017,a-bike,0
715,2017,adiva,194
716,2017,aprilia,51
717,2017,bmw,236
718,2017,bajaj,114
719,2017,benelli,1
720,2017,can-am,0
721,2017,cfmoto,1
722,2017,cpi,0
723,2017,daelim,12
724,2017,derbi,0
725,2017,ducati,54
726,2017,harley davidson,131
727,2017,honda,3125
728,2017,husqvarna,13
729,2017,hyosung,1
730,2017,indian,8
731,2017,jianshe,3
732,2017,ktm,312
733,2017,kawasaki,116
734,2017,keeway,4
735,2017,kymco,157
736,2017,lambretta,3
737,2017,laverda,1
738,2017,lexmoto,47
739,2017,mv agusta,40
740,2017,megelli,0
741,2017,mle,0
742,2017,modenas,0
743,2017,moto guzzi,11
744,2017,norton,6
745,2017,pgo,31
746,2017,peugeot,0
747,2017,piaggio,322
748,2017,qingqi,3
749,2017,regal-raptor,0
750,2017,rieju,2
751,2017,royal enfield,13
752,2017,sachs,0
753,2017,sacin,0
754,2017,scomadi,34
755,2017,suzuki,387
756,2017,sym,278
757,2017,tgb,18
758,2017,triumph,146
759,2017,tvs,0
760,2017,velocette,0
761,2017,vespa,1
762,2017,victory,6
763,2017,yamaha,3764
764,2017,yyrus,0
765,2017,zongshen,15
766,2017,others,0
