,year,cc_rating,number
0,2005,100cc and below,3049
1,2005,101-200cc,104528
2,2005,201-300cc,3268
3,2005,301-400cc,18375
4,2005,401-500cc,209
5,2005,501-1000cc,5960
6,2005,1001cc and above,3199
7,2006,100cc and below,2548
8,2006,101-200cc,107778
9,2006,201-300cc,3167
10,2006,301-400cc,18319
11,2006,401-500cc,237
12,2006,501-1000cc,6463
13,2006,1001cc and above,3369
14,2007,100cc and below,2091
15,2007,101-200cc,108991
16,2007,201-300cc,3021
17,2007,301-400cc,18545
18,2007,401-500cc,250
19,2007,501-1000cc,6997
20,2007,1001cc and above,3587
21,2008,100cc and below,1720
22,2008,101-200cc,109820
23,2008,201-300cc,2951
24,2008,301-400cc,19020
25,2008,401-500cc,281
26,2008,501-1000cc,7624
27,2008,1001cc and above,3872
28,2009,100cc and below,1500
29,2009,101-200cc,110623
30,2009,201-300cc,2905
31,2009,301-400cc,18717
32,2009,401-500cc,328
33,2009,501-1000cc,8125
34,2009,1001cc and above,4139
35,2010,100cc and below,1365
36,2010,101-200cc,111150
37,2010,201-300cc,2914
38,2010,301-400cc,18501
39,2010,401-500cc,370
40,2010,501-1000cc,8494
41,2010,1001cc and above,4488
42,2011,100cc and below,1205
43,2011,101-200cc,108983
44,2011,201-300cc,2872
45,2011,301-400cc,18282
46,2011,401-500cc,421
47,2011,501-1000cc,8919
48,2011,1001cc and above,4998
49,2012,100cc and below,945
50,2012,101-200cc,106085
51,2012,201-300cc,2875
52,2012,301-400cc,17932
53,2012,401-500cc,433
54,2012,501-1000cc,9475
55,2012,1001cc and above,5541
56,2013,100cc and below,745
57,2013,101-200cc,105735
58,2013,201-300cc,2973
59,2013,301-400cc,17993
60,2013,401-500cc,440
61,2013,501-1000cc,10246
62,2013,1001cc and above,6175
63,2014,100cc and below,684
64,2014,101-200cc,103249
65,2014,201-300cc,3054
66,2014,301-400cc,18773
67,2014,401-500cc,437
68,2014,501-1000cc,11103
69,2014,1001cc and above,7104
70,2015,100cc and below,653
71,2015,101-200cc,99765
72,2015,201-300cc,3061
73,2015,301-400cc,19513
74,2015,401-500cc,419
75,2015,501-1000cc,12061
76,2015,1001cc and above,7807
77,2016,100cc and below,618
78,2016,101-200cc,97306
79,2016,201-300cc,3013
80,2016,301-400cc,19817
81,2016,401-500cc,407
82,2016,501-1000cc,12864
83,2016,1001cc and above,8414
84,2017,100cc and below,561
85,2017,101-200cc,94609
86,2017,201-300cc,3330
87,2017,301-400cc,19937
88,2017,401-500cc,401
89,2017,501-1000cc,13585
90,2017,1001cc and above,8881
