,motor_name,motor_price,year
0,Adiva AD200 ABS ,14300,2016
1,Adiva AD300 ABS ,14500,2016
2,Adiva AR 3 ABS ,16100,2016
3,Aprilia Caponord 1200 ABS ADD ,31000,2016
4,Aprilia Caponord 1200 Rally ABS ,29000,2016
5,Aprilia Dorsoduro 1200 ABS ,25500,2016
6,Aprilia Dorsoduro 750 ABS ,21000,2016
7,Aprilia Dorsoduro 750 ABS ,18000,2016
8,Aprilia Dorsoduro 750 Factory ABS ,22200,2016
9,Aprilia ETX150 Enduro Non ABS ,5400,2016
10,Aprilia RS4 125 Non ABS ,8500,2015
11,Aprilia RS4 125 Replica Non ABS ,9000,2015
12,Aprilia RS4 125 Replica Non ABS ,9000,2015
13,Aprilia RS4 4T 125 Replica Non ABS ,11500,2016
14,Aprilia RSV 4 R APRC Factory ABS ,37000,2016
15,Aprilia RSV 4 RF ABS ,36400,2016
16,Aprilia RSV 4 RR ABS ,29000,2015
17,Aprilia RSV 4 RR ABS ,29000,2016
18,Aprilia RSV 4 RR Race Pack ABS ,34200,2016
19,Aprilia RSV4 R APRC ABS ,29000,2016
20,Aprilia RSV4 R APRC Non ABS ,26500,2016
21,Aprilia Scarabeo 200 CVT ABS ,8200,2016
22,Aprilia Scarabeo 200 Non ABS ,5900,2016
23,Aprilia Shiver 750 ABS ,19500,2016
24,Aprilia Sportcity 125 Non ABS ,5500,2016
25,Aprilia SR Max 300 ABS ,10500,2016
26,Aprilia SR MT 125 Non ABS ,4000,2016
27,Aprilia SRV 850 ABS ,21000,2016
28,Aprilia STX150 Non ABS ,4800,2016
29,Aprilia Tuono V4 APRC ABS ,28000,2016
30,Aprilia Tuono V4 APRC Non ABS ,26500,2016
31,Aprilia Tuono V4 Factory 1100 ABS ,30000,2016
32,Aprilia Tuono V4 R 1100 ABS ,27800,2016
33,Bajaj Pulsar 200 NS Non ABS ,6700,2016
34,Bajaj Pulsar RS 200 Non ABS ,8200,2016
35,Beta RR ENDURO 2T 200 Non ABS ,16600,2019
36,BMW C600 Sport ABS ,23600,2016
37,BMW C650GT ABS ,24900,2016
38,BMW F700GS ABS ,24900,2016
39,BMW F800GS ABS ,29100,2016
