,price,body,brand,Model
0,9800,Adventure,honda,✨ honda cb190x coe may 2029
1,15500,Adventure,honda,honda cb200x 2022 coe until feb 2032
2,4500,Adventure,yamaha,spark 135
3,1888,Adventure,honda,honda cb200x
4,8000,Adventure,honda,honda cb190x 
5,14800,Adventure,honda,adv 150 abs
6,8399,Adventure,honda,honda cb190x tourism 
7,10000,Adventure,honda,honda cb190x tourism
8,10600,Adventure,honda,honda cb190x tourism (2019)
9,1000,Adventure,honda,honda cb400x 
10,5200,Adventure,honda,honda cb200x
11,11000,Adventure,honda,pre-owned class 2b honda msx125a - low mileage
12,1500,Adventure,honda,crf 190l
13,888,Adventure,honda,honda cb150x
14,82009200,Adventure,honda,honda cb190x tourism
15,9800,Adventure,honda,honda cb190x tourism
16,8500,Adventure,honda,honda cbf190x fighthawk
17,1088812700,Adventure,honda,honda cb190 
18,7600,Adventure,honda,honda cbf190x fighthawk
19,377,Adventure,honda,honda cb150x new
20,500,Adventure,honda,cb200x abs
21,8200,Adventure,royal enfield,motorcycle sidecar for sale
22,2500,Adventure,ktm,"ktm duke, may 2023, renewable "
23,2000,Adventure,bajaj,bajaj pulsar ns200fi abs
24,500,Adventure,honda,honda cb150x
25,7800,Adventure,honda,cb190x fighthawk
26,1388814888,Adventure,honda,adv 150
27,10980,Adventure,honda,honda tourism cb190x (2019)
28,16600,Adventure,honda,honda cb150x (like new)
29,8500,Adventure,others,derbi terra adventure coe till  dec 2028
30,1888,Adventure,honda,honda cb150x
31,9800,Adventure,honda,honda tourism cb190x
32,8000,Adventure,honda,honda fighthawk for sale
33,377,Adventure,honda,honda cb200x
34,10000,Adventure,honda,honda varadero 125 injection
35,8800,Adventure,honda,cb190x fighthawk (coe till 2027)
36,377,Adventure,honda,honda cb200x
37,238,Adventure,honda,honda crf190l
38,777,Adventure,honda,honda cb200x abs
39,14000,Adventure,honda,honda adv150 2020
40,6077,Adventure,honda,honda cb200x
41,25,Adventure,honda,honda cb200x
42,500,Adventure,honda,honda cb150x
43,188,Adventure,honda,honda crf190l
44,11588,Adventure,honda,tourism cb190x (honda)
45,5001000,Adventure,honda,honda - crf190l
46,500,Adventure,honda,honda crf190x
47,500,Adventure,honda,honda cb150x for sale. $0 downpayment including insurance guarantee available.  roy 9877 9412
48,5888,Adventure,honda,honda cb200x
49,1500,Adventure,honda,honda cb150x
50,377,Adventure,honda,honda cb200x abs 2022
51,1500,Adventure,honda,new honda cb150x
52,6588,Adventure,honda,honda cb150x abs (new model)
53,9800,Adventure,honda,honda cb190x tourism
54,1500,Adventure,honda,new honda cb150x for sale
55,999,Adventure,honda,cb200x honda 2022
56,1000,Adventure,honda,honda adv 160
57,19350,Adventure,honda,honda cb150x
58,9600,Adventure,honda,honda cb190r
59,377,Adventure,honda,honda cb150x
60,666,Adventure,honda,honda cb150x
61,777,Adventure,honda,honda cb150x 
62,9800,Adventure,honda,cb190x tourism
63,377,Adventure,honda,honda cb150x
64,1000,Adventure,honda,honda cb200x
65,17688,Adventure,honda,honda cb200x
66,777,Adventure,honda,honda crf190l
67,6377,Adventure,honda,honda cb150x
68,1888,Adventure,honda,honda crf190l
69,500,Adventure,honda,new honda adv 160 
70,500,Adventure,honda,honda cb150x
71,1000,Adventure,honda,honda adv 160
72,500,Adventure,honda,honda cb150x
73,13000,Adventure,honda,honda cb400x 2017
74,6588,Adventure,honda,honda cb400x xeon white  headlight (2015)
75,15888,Adventure,bmw,used bmw g310 gs
76,777,Adventure,ktm,ktm adventure 390
